thickness,TransportTimeAfterHeating,EnforcedTemperatureOfEntireSheet,QuenchingTimeInTool,QuenchingForce,spacing,DefaultToolTemperature,HARDNESS P1,THICKNESS P2
1.45,10,900,2,500000,0.1,80,464.3333,1.418
1.55,25,950,10,2000000,2,300,441.3333,1.5205
1.4562,20.9977,933.9074,3.9365,573138.1455,0.1118,123.952,419,1.4316
1.4669,14.6942,946.7911,9.992,1861852.386,1.6379,283.7022,459.3333,1.4378
1.4515,21.0006,946.894,5.156,683403.1477,0.6454,160.9714,429.3333,1.429
1.4699,22.6112,939.335,5.406,1021667.816,1.173,283.0386,427.6667,1.4469
1.4807,10.5552,905.9956,6.9354,889988.3147,1.4784,136.9674,467.6667,1.4521
1.5408,20.1242,938.229,4.7603,1593742.5393,1.7189,236.5514,406.6667,1.5114
1.4725,12.7892,926.5608,4.2173,730675.5895,0.2848,190.3911,464.6667,1.445
1.4995,15.34,922.6573,9.9205,1702510.86,1.3844,88.8173,444.3333,1.4694
1.4742,22.5841,938.0031,4.4956,1294512.8049,1.1079,285.8241,406.6667,1.4502
1.4501,16.7884,927.4854,3.6168,629692.5839,1.9316,120.3779,425.3333,1.4277
1.4976,20.2302,926.1565,3.797,1948893.1777,0.6332,178.8087,418,1.4714
1.5125,23.4413,938.5894,7.9667,757575.7932,1.049,240.6228,402.3333,1.4873
1.5161,24.4135,933.9015,2.4464,1887360.0758,0.1952,243.0236,394.3333,1.4863
1.5033,24.1898,946.3482,5.8025,551135.3523,0.413,94.691,415.6667,1.4785
1.5331,16.2221,900.5203,2.6724,983745.6459,0.5682,99.1547,420.3333,1.502
1.5308,20.2945,908.992,9.2159,1624266.7827,1.039,273.8349,388,1.5026
1.4584,18.8623,907.478,5.2592,986600.913,1.2029,131.8164,401,1.4362
1.4715,18.3838,901.3014,3.0364,1736302.1834,0.1685,132.3427,395,1.4443
1.4962,23.0464,926.6844,4.2855,1299418.8395,0.6529,220.5773,392.3333,1.471
1.5406,14.9048,900.1225,7.8415,798533.8801,1.2226,257.5257,398,1.5098
1.5103,16.9668,914.2651,3.1134,1431404.0083,1.7776,152.5291,410.3333,1.4837
1.4784,14.7331,933.7001,6.5338,1322396.3794,1.3338,299.7795,438,1.4505
1.4927,24.393,941.9637,6.2148,1824160.2604,0.9643,195.4047,418.6667,1.4674
1.512,10.3905,919.4537,6.9429,542925.6111,1.3121,116.7994,479.6667,1.4772
1.5318,12.5657,902.3399,2.2559,1404459.6878,0.1819,187.245,442.6667,1.4951
1.5063,12.1174,928.1343,2.8012,614156.8569,0.4106,283.4522,415,1.4749
1.5417,21.6133,925.1454,6.3088,1727526.3681,0.4779,122.7466,410.3333,1.5133
1.5196,12.2532,904.5569,3.0244,939466.8458,1.9504,252.2182,438.6667,1.4909
1.5258,17.8687,913.2214,8.2756,886969.6536,1.4929,132.1735,400,1.4997
1.4877,12.9293,908.9745,9.0857,1198629.1367,0.9959,82.5441,452,1.459
1.4654,11.0001,933.4646,9.0734,1226156.2803,1.9392,273.0055,464.3333,1.4368
1.4533,19.3102,942.3732,5.1707,1133665.2622,0.1266,146.2604,420.6667,1.4284
